word,phonetic,translation,bookId
bargain,/ˈbɑːɡɪn/,n. 便宜货; v. 讨价还价,CET4,0
opportunity,/ˌɒpəˈtjuːnəti/,n. 机会; 时机,CET4,1
absorb,/əbˈzɔːb/,v. 吸收; 吸引,CET4,0
laboratory,/ləˈbɒrətri/,n. 实验室,CET4,1
committee,/kəˈmɪti/,n. 委员会,CET4,0
enthusiasm,/ɪnˈθjuːziæzəm/,n. 热情; 热忱,CET4,1
genuine,/ˈdʒenjuɪn/,adj. 真正的; 真诚的,CET4,0
development,/dɪˈveləpmənt/,n. 发展; 开发,CET4,1
hesitate,/ˈhezɪteɪt/,v. 犹豫; 迟疑,CET4,0
imagination,/ɪˌmædʒɪˈneɪʃn/,n. 想象; 想象力,CET4,1
painful,/ˈpeɪnfl/,adj. 痛苦的; 困难的,CET4,0
maintenance,/ˈmeɪntənəns/,n. 维护; 保养,CET4,1
encounter,/ɪnˈkaʊntə/,v. 遭遇; 邂逅,CET4,0
representative,/ˌreprɪˈzentətɪv/,n. 代表; adj. 代表的,CET4,1
familiar,/fəˈmɪliə/,adj. 熟悉的; 常见的,CET4,0
circumstance,/ˈsɜːkəmstæns/,n. 环境; 情况,CET4,1
blame,/bleɪm/,v. 责备; 责怪,CET4,0
cooperation,/kəʊˌɒpəˈreɪʃn/,n. 合作; 协作,CET4,1
evidence,/ˈevɪdəns/,n. 证据; 迹象,CET4,0
preparation,/ˌprepəˈreɪʃn/,n. 准备; 预备,CET4,1
guarantee,/ˌɡærənˈtiː/,v./n. 保证; 担保,CET4,0
recommendation,/ˌrekəmenˈdeɪʃn/,n. 推荐; 建议,CET4,1
approve,/əˈpruːv/,v. 批准; 赞成,CET4,0
manufacture,/ˌmænjuˈfæktʃə/,v. 制造; 加工,CET4,1
bound,/baʊnd/,adj. 一定的; 捆绑的,CET4,0
scholarship,/ˈskɒləʃɪp/,n. 奖学金; 学识,CET4,1
genuine,/ˈdʒenjuɪn/,adj. 真正的; 真诚的,CET4,0
negotiate,/nɪˈɡəʊʃieɪt/,v. 谈判; 协商,CET4,0
vocabulary,/vəˈkæbjələri/,n. 词汇; 词汇量,CET4,1
abandon,/əˈbændən/,v. 抛弃; 放弃,CET4,0
intelligence,/ɪnˈtelɪdʒəns/,n. 智力; 情报,CET4,1
exhibit,/ɪɡˈzɪbɪt/,v. 展览; 显示,CET4,0
possibility,/ˌpɒsəˈbɪləti/,n. 可能性,CET4,1
conquer,/ˈkɒŋkə/,v. 征服; 克服,CET4,0
responsibility,/rɪˌspɒnsəˈbɪləti/,n. 责任; 职责,CET4,1
barrier,/ˈbæriə/,n. 障碍; 屏障,CET4,0
transportation,/ˌtrænspɔːˈteɪʃn/,n. 运输; 交通,CET4,1
essay,/ˈeseɪ/,n. 短文; 散文,CET4,0
international,/ˌɪntəˈnæʃnəl/,adj. 国际的,CET4,1
declare,/dɪˈkleə/,v. 宣布; 声明,CET4,0
specialist,/ˈspeʃəlɪst/,n. 专家; 专科医生,CET4,1
scratch,/skrætʃ/,v. 抓; 刮,CET4,0
independent,/ˌɪndɪˈpendənt/,adj. 独立的; 自主的,CET4,1
hunt,/hʌnt/,v. 打猎; 搜寻,CET4,0
qualification,/ˌkwɒlɪfɪˈkeɪʃn/,n. 资格; 条件,CET4,1
flame,/fleɪm/,n. 火焰; 热情,CET4,0
supermarket,/ˈsuːpəmɑːkɪt/,n. 超市,CET4,1
wisdom,/ˈwɪzdəm/,n. 智慧; 明智,CET4,0
establishment,/ɪˈstæblɪʃmənt/,n. 建立; 机构,CET4,1
shelter,/ˈʃeltə/,n. 庇护所; v. 遮蔽,CET4,0
technology,/tekˈnɒlədʒi/,n. 技术; 科技,CET4,1
celebrate,/ˈselɪbreɪt/,v. 庆祝; 赞美,CET4,0
accommodation,/əˌkɒməˈdeɪʃn/,n. 住宿; 膳宿,CET4,1
efficient,/ɪˈfɪʃnt/,adj. 高效的; 有能力的,CET4,0
significance,/sɪɡˈnɪfɪkəns/,n. 意义; 重要性,CET4,1
blank,/blæŋk/,adj. 空白的; 茫然的,CET4,0
profession,/prəˈfeʃn/,n. 职业; 专业,CET4,1
retire,/rɪˈtaɪə/,v. 退休; 离开,CET4,0
phenomenon,/fɪˈnɒmɪnən/,n. 现象; 奇迹,CET4,1
